queryID,variantID,queryText
313665,4388082,"select e.empName, e.annualSalary, d.deptName, d.deptLocation, e.jobTitle
from Employee e natural join Department d
where (d.deptLocation = 'Dubai' or d.deptName = 'Sales') and
        (e.annualSalary >= 7000 and e.annualSalary <= 100000) and
        (e.empName like '_a%' or e.empName like '_i%')
order by e.empName asc, d.deptName desc"
34820,4388082,"SELECT e.empName, e.annualSalary, d.deptName, d.deptLocation, e.jobTitle
FROM Employee e join Department d on e.deptID = d.deptID 
WHERE ((d.deptLocation = 'Dubai') OR (d.deptName = 'Sales')) AND (e.annualSalary >= 84000 AND e.annualSalary <= 120000) AND ((e.empName LIKE '_A%' )OR (e.empName LIKE '_I%'))
ORDER BY e.empName,  d.deptName DESC

"
325288,4388082,"SELECT e.empName, e.annualSalary, d.deptName, d.deptLocation, e.jobTitle
FROM Employee e NATURAL JOIN Department d
WHERE (d.deptLocation = 'Dubai' OR d.deptName = 'Sales') AND e.annualSalary >= 84000 AND e.annualSalary <= 120000 AND (e.empName LIKE '_A%' OR e.empName LIKE '_I%')
ORDER BY e.empName, d.deptName DESC;"
36577,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle
FROM Department d, Employee e
WHERE e.deptID = d.deptID and (deptLocation = 'Dubai' or deptName = 'Sales') and 
(annualSalary / 12 >= 7000 and annualSalary / 12 <= 10000)"
342776,4388082,"SELECT E.empName, E.annualSalary, D.deptName, D.deptLocation, E.jobTitle
FROM Employee E, Department D
WHERE (E.deptID = D.deptID) AND (D.deptLocation = 'Dubai' OR D.deptName = 'Sales') AND (E.annualSalary / 12 >= 7000 AND E.annualSalary / 12 <= 10000) AND (E.empName LIKE '_i%' OR E.empName LIKE '_a%')
ORDER BY E.empName, D.deptName DESC"
31817,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle
FROM Department d JOIN Employee e ON d.deptID = e.deptID
WHERE (deptLocation = 'Dubai' OR deptName = 'Sales') AND (annualSalary)/12 >= 7000 AND (annualSalary)/12 <=10000 AND (empName LIKE '_a%' OR empName LIKE '_i%')
ORDER BY empName, deptName DESC;"
331548,4388082,"select e.empName, e.annualSalary, d.deptName, d.deptLocation, e.jobTitle
from Employee e join Department d
on e.deptID = d.deptID
where d.deptLocation = 'Dubai' 
or d.deptName = 'Sales' 
and ((e.annualSalary / 12) >= 7000 and (e.annualSalary / 12) <= 10000)
and (e.empName like '_A%' or e.empName like '_I%')
order by e.empName asc, d.deptName desc"
131080,4388082,"SELECT e.empName, e.annualSalary, d.deptName, d.deptLocation, e.jobTitle
FROM Department d JOIN Employee e ON d.deptID = e.deptID
WHERE (d.deptLocation = ""Dubai"" OR d.deptName = ""Sales"") AND (
e.annualSalary <= 100000 AND e.annualSalary >= 70000) AND (
e.empName LIKE ""_a%"" OR e.empName LIKE ""_i%"")
ORDER BY e.empName ASC, d.deptName DESC
"
128458,4388082,"SELECT e.empName as Name, e.annualSalary as Salary, d.deptName, d.deptLocation, e.jobTitle
FROM Employee as e
INNER JOIN Department as d
ON d.deptID = e.deptID
WHERE (d.deptLocation = ""Dubai"" OR d.deptName = ""Sales"") AND (e.annualSalary/12 <= 10000 AND e.annualSalary/12 >= 7000) AND (e.empName LIKE ""_A%"" OR e.empName LIKE ""_I%"")
ORDER BY d.deptName DESC"
127187,4388082,"SELECT Emp.empName, Emp.annualSalary, Dept.deptName, Dept.deptLocation, Emp.jobTitle
FROM Department Dept NATURAL JOIN Employee Emp
WHERE (Dept.deptLocation = ""Dubai"" OR Dept.deptName = ""Sales"") AND 
        (Emp.annualSalary >= 12 * 7000 AND Emp.annualSalary <= 12 * 10000) AND 
        (Emp.empName LIKE '_A%' OR Emp.empName LIKE '_I%')
ORDER BY Emp.empName, Dept.deptName DESC"
124539,4388082,"SELECT Employee.empName, Employee.annualSalary, Department.deptName, Department.deptLocation, Employee.jobTitle
FROM Employee NATURAL JOIN Department
WHERE (Department.deptLocation = 'Dubai' OR Department.deptName = 'Sales')
AND (Employee.annualSalary/12 >= 7000 AND Employee.annualSalary/12 <= 10000)
AND (SUBSTR(Employee.empName, 2, 1) = 'A'  OR SUBSTR(Employee.empName, 2, 1) = 'I')"
