queryNum,queryID,variantID,queryText
1,313665,4388082,"select a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle from Employee a natural join Department d where (b.deptLocation = 'Dubai' or b.deptName = 'Sales') and         (a.annualSalary >= 7000 and a.annualSalary <= 100000) and         (a.empName like '_a%' or a.empName like '_i%') order by a.empName asc, b.deptName desc"
2,34820,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a join Department b on a.deptID = b.deptID  WHERE ((b.deptLocation = 'Dubai') OR (b.deptName = 'Sales')) AND (a.annualSalary >= 84000 AND a.annualSalary <= 120000) AND ((a.empName LIKE '_A%' )OR (a.empName LIKE '_I%')) ORDER BY a.empName,  b.deptName DESC  "
3,325288,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a NATURAL JOIN Department d WHERE (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND a.annualSalary >= 84000 AND a.annualSalary <= 120000 AND (a.empName LIKE '_A%' OR a.empName LIKE '_I%') ORDER BY a.empName, b.deptName DESC;"
4,36577,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Department a, Employee b WHERE b.deptID = a.deptID and (deptLocation = 'Dubai' or deptName = 'Sales') and  (annualSalary / 12 >= 7000 and annualSalary / 12 <= 10000)"
5,342776,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a, Department b WHERE (a.deptID = b.deptID) AND (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND (a.annualSalary / 12 >= 7000 AND a.annualSalary / 12 <= 10000) AND (a.empName LIKE '_i%' OR a.empName LIKE '_a%') ORDER BY a.empName, b.deptName DESC"
6,31817,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Department a JOIN Employee b ON a.deptID = b.deptID WHERE (deptLocation = 'Dubai' OR deptName = 'Sales') AND (annualSalary)/12 >= 7000 AND (annualSalary)/12 <=10000 AND (empName LIKE '_a%' OR empName LIKE '_i%') ORDER BY empName, deptName DESC;"
7,331548,4388082,"select a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle from Employee a join Department d on a.deptID = b.deptID where b.deptLocation = 'Dubai'  or b.deptName = 'Sales'  and ((a.annualSalary / 12) >= 7000 and (a.annualSalary / 12) <= 10000) and (a.empName like '_A%' or a.empName like '_I%') order by a.empName asc, b.deptName desc"
8,131080,4388082,"SELECT b.empName, b.annualSalary, a.deptName, a.deptLocation, b.jobTitle FROM Department a JOIN Employee b ON a.deptID = b.deptID WHERE (a.deptLocation = ""Dubai"" OR a.deptName = ""Sales"") AND ( b.annualSalary <= 100000 AND b.annualSalary >= 70000) AND ( b.empName LIKE ""_a%"" OR b.empName LIKE ""_i%"") ORDER BY b.empName ASC, a.deptName DESC "
9,128458,4388082,"SELECT a.empName as Name, a.annualSalary as Salary, b.deptName, b.deptLocation, a.jobTitle FROM Employee as e INNER JOIN Department as d ON b.deptID = a.deptID WHERE (b.deptLocation = ""Dubai"" OR b.deptName = ""Sales"") AND (a.annualSalary/12 <= 10000 AND a.annualSalary/12 >= 7000) AND (a.empName LIKE ""_A%"" OR a.empName LIKE ""_I%"") ORDER BY b.deptName DESC"
10,127187,4388082,"SELECT b.empName, b.annualSalary, a.deptName, a.deptLocation, b.jobTitle FROM Department a NATURAL JOIN Employee Emp WHERE (a.deptLocation = ""Dubai"" OR a.deptName = ""Sales"") AND          (b.annualSalary >= 12 * 7000 AND b.annualSalary <= 12 * 10000) AND          (b.empName LIKE '_A%' OR b.empName LIKE '_I%') ORDER BY b.empName, a.deptName DESC"
11,124539,4388082,"SELECT Employee.empName, Employee.annualSalary, Department.deptName, Department.deptLocation, Employee.jobTitle FROM Employee NATURAL JOIN Department WHERE (Department.deptLocation = 'Dubai' OR Department.deptName = 'Sales') AND (Employee.annualSalary/12 >= 7000 AND Employee.annualSalary/12 <= 10000) AND (SUBSTR(Employee.empName, 2, 1) = 'A'  OR SUBSTR(Employee.empName, 2, 1) = 'I')"
12,126177,4388082,"SELECT b.empName, b.annualSalary, a.deptName, a.deptLocation, b.jobTitle FROM Department a INNER JOIN Employee b on b.deptID = a.deptID WHERE (a.deptLocation = 'Dubai' OR a.deptName = 'Sales') AND (b.annualSalary >= 84000 AND b.annualSalary <= 120000) AND (b.empName LIKE ""_A%"" OR b.empName LIKE ""_I%"")"
13,83742,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee e JOIN Department b ON a.deptID = b.deptID WHERE (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND (a.annualSalary >= 7000 OR a.annualSalary <= 10000) AND (a.empName LIKE '_A%' OR a.empName LIKE '_I%') ORDER BY a.empName ASC, b.deptName DESC ;"
14,336531,4388082,"SELECT b.empName, b.annualSalary, a.deptName, a.deptLocation, b.jobTitle  FROM Department a join Employee E on a.deptID = b.deptID where (a.deptLocation = ""Dubai"" or a.deptName= ""sales"") and ((b.annualSalary/12) >= 7000 and (b.annualSalary/12) <= 10000)  -- and (b.empName like '_a%' or '_i%') order by b.empName, a.deptName DESC"
15,331920,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a NATURAL JOIN Department d WHERE (b.deptLocation = ""Dubai"" OR b.deptName = ""Sales"") AND (a.annualSalary/12 >= 7000 AND a.annualSalary/12 <=10000) AND (a.empName LIKE ""_a%"" OR a.empName LIKE ""_i%"") ORDER BY a.empName, b.deptName DESC"
16,35368,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Department, Employee WHERE deptName = ""Sales"" AND annualSalary/12 >= 7000 AND annualSalary/12 <= 10000 AND (empName LIKE ""_A%"" OR empName LIKE ""_I%"") AND jobTitle LIKE ""Sales%"" ORDER BY empName, deptName DESC"
17,313229,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a NATURAL JOIN Department d WHERE (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND (annualSalary / 12 >= 7000 AND annualSalary / 12 <= 10000) AND (empName LIKE '_A%' OR empName LIKE '_I%') ORDER BY a.empName, b.deptName DESC;"
18,33496,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee AS E JOIN Department AS b ON b.deptID = a.deptId WHERE     (b.deptLocation = ""Dubai"" OR b.deptName = ""Sales"") AND     (a.annualSalary / 12 >= 7000 AND a.annualSalary / 12 <= 10000) AND     (a.empName LIKE ""_A%"" OR a.empName LIKE ""_I%"") ORDER BY a.empName, b.deptName DESC"
19,5259,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Employee NATURAL JOIN Department WHERE (deptLocation = 'Dubai' OR (deptName = 'Sales' AND annualSalary >= 84000 AND annualSalary <= 120000)) AND (empName LIKE '_I%' OR empName LIKE '_A%')  ORDER BY empName ASC, deptName DESC;"
20,5271,4388082,"SELECT e.empName, e.annualSalary, d.deptName, d.deptLocation, e.jobTitle FROM (Employee e) NATURAL JOIN (Department d) WHERE (d.deptLocation = ""Dubai"" OR d.deptName = ""Sales"") AND (e.annualSalary >= 84000 AND e.annualSalary <= 120000) AND (e.empName LIKE ""_A%"" OR e.empName LIKE ""_I%"") ORDER BY e.empName, d.deptName DESC"
21,332195,4388082,"Select b.empName, b.annualSalary, a.deptName, a.deptLocation, b.jobTitle From Department a Natural Join Employee emp WHERE (a.deptLocation = ""Dubai"" OR a.deptName = ""Sales"") AND (b.annualSalary / 12 >= 7000 AND b.annualSalary/12 <= 10000) AND (b.empName LIKE '_a%' OR b.empName LIKE '_i%')"
22,332008,4388082,"select Employee.empName, Employee.annualSalary, Department.deptName,Department.deptLocation, Employee.jobTitle from Employee natural join Department where (Department.deptLocation = 'Dubai' or deptName = 'Sales') and Employee.annualSalary/12>=7000 and Employee.annualSalary/12<= 10000 and (Employee.empName like '_A%' or Employee.empName like '_I%') order by Employee.empName, Department.deptName desc"
23,11185,4388082,"select a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle from Employee a join Department b on a.deptID = b.deptID where (b.deptLocation = 'Dubai' or b.deptName = 'Sales') and ((a.annualSalary/12)>= 7000 and (a.annualSalary/12) <= 10000) and (a.empName LIKE '_A%' or a.empName LIKE '_I%') order by a.empName, b.deptName desc"
